2020-09-21 15:30:36,075 - INFO - #####################################
2020-09-21 15:30:36,078 - INFO - ############Start Training###########
2020-09-21 15:30:36,078 - INFO - #####################################
2020-09-21 15:40:32,110 - INFO - Env 00, Goal (007.6, 002.3), Episode 00028, setp 002, Reward -15.0, Distance 008.7, Crashed
2020-09-21 15:40:32,336 - INFO - Env 00, Goal (-06.6, -03.8), Episode 00029, setp 012, Reward -15.0, Distance 008.9, Crashed
2020-09-21 15:40:32,397 - INFO - Env 00, Goal (000.1, -00.4), Episode 00030, setp 002, Reward -15.0, Distance 008.7, Crashed
2020-09-21 15:40:34,273 - INFO - Env 00, Goal (-00.1, 007.6), Episode 00031, setp 152, Reward -2.3 , Distance 009.7, Time out
2020-09-21 15:40:36,204 - INFO - Env 00, Goal (-00.2, 006.9), Episode 00032, setp 152, Reward 3.8  , Distance 009.7, Time out
2020-09-21 15:40:36,853 - INFO - Env 00, Goal (000.7, -03.5), Episode 00033, setp 053, Reward -14.6, Distance 009.2, Crashed
2020-09-21 15:40:38,760 - INFO - ########################## model saved when update 20 times#########################
2020-09-21 15:40:38,760 - INFO - Env 00, Goal (000.6, 001.5), Episode 00034, setp 152, Reward 10.4 , Distance 008.6, Time out
2020-09-21 15:40:40,560 - INFO - Env 00, Goal (-03.5, 001.3), Episode 00035, setp 152, Reward 21.1 , Distance 009.5, Time out
2020-09-21 15:40:40,751 - INFO - Env 00, Goal (000.3, -00.2), Episode 00036, setp 015, Reward -22.8, Distance 008.5, Crashed
2020-09-21 15:40:42,631 - INFO - Env 00, Goal (-02.1, -02.9), Episode 00037, setp 152, Reward 2.1  , Distance 008.3, Time out
2020-09-21 15:40:43,263 - INFO - Env 00, Goal (001.3, -01.8), Episode 00038, setp 044, Reward -19.6, Distance 008.2, Crashed
2020-09-21 15:40:43,961 - INFO - Env 00, Goal (-04.4, -03.9), Episode 00039, setp 048, Reward -16.4, Distance 009.4, Crashed
2020-09-21 15:40:44,895 - INFO - Env 00, Goal (004.2, 002.7), Episode 00040, setp 076, Reward -22.3, Distance 009.6, Crashed
2020-09-21 15:40:46,778 - INFO - Env 00, Goal (-02.4, 005.6), Episode 00041, setp 152, Reward 2.3  , Distance 009.8, Time out
2020-09-21 15:40:47,735 - INFO - Env 00, Goal (-04.2, -06.0), Episode 00042, setp 064, Reward -24.3, Distance 009.7, Crashed
2020-09-21 15:40:49,575 - INFO - Env 00, Goal (-04.9, -01.9), Episode 00043, setp 152, Reward 0.6  , Distance 008.4, Time out
2020-09-21 15:40:49,657 - INFO - Env 00, Goal (-00.2, -00.4), Episode 00044, setp 003, Reward -15.0, Distance 008.5, Crashed
2020-09-21 15:40:51,482 - INFO - Env 00, Goal (-00.4, 001.4), Episode 00045, setp 152, Reward 10.9 , Distance 009.3, Time out
2020-09-21 15:40:53,462 - INFO - Env 00, Goal (003.8, -04.8), Episode 00046, setp 152, Reward 2.6  , Distance 008.2, Time out
2020-09-21 15:40:55,245 - INFO - Env 00, Goal (-00.0, -06.2), Episode 00047, setp 152, Reward 5.1  , Distance 009.1, Time out
